year,month,day,temp,crimes
2018,1,1,-2.6785715,847
2018,1,2,-.85714287,555
2018,1,3,14.162162,568
2018,1,4,6.3000002,600
2018,1,5,5.4285712,660
2018,1,6,7.5,585
2018,1,7,25.421053,535
2018,1,8,33.903225,618
2018,1,9,30.128204,653
2018,1,10,44.92683,709
2018,1,11,51.734695,698
2018,1,12,21.5625,705
2018,1,13,12.344828,617
2018,1,14,15.722222,563
2018,1,15,16.803921,528
2018,1,16,14.622222,612
2018,1,17,14.714286,644
2018,1,18,25.571428,621
2018,1,19,34.75,707
2018,1,20,40.392857,724
2018,1,21,42.912281,716
2018,1,22,48.933334,722
2018,1,23,32.305557,716
2018,1,24,29.151516,610
2018,1,25,35.5,640
2018,1,26,46.035713,759
2018,1,27,45.57143,754
2018,1,28,34.966667,668
2018,1,29,25.151516,650
2018,1,30,24.678572,632
2018,1,31,37.607143,708
2018,2,1,22.517241,706
2018,2,2,13.821428,669
2018,2,3,31.111111,627
2018,2,4,20.80851,510
2018,2,5,8.3255816,537
2018,2,6,16.3125,589
2018,2,7,17.210526,542
2018,2,8,16.972973,556
2018,2,9,26.052631,504
2018,2,10,21.210526,532
2018,2,11,21.166666,537
2018,2,12,18.035715,569
2018,2,13,26.892857,640
2018,2,14,37.804348,658
2018,2,15,42.282608,691
2018,2,16,32.25,661
2018,2,17,28.589743,603
2018,2,18,31.129032,585
2018,2,19,49.489361,624
2018,2,20,54.339622,641
2018,2,21,31.32353,633
2018,2,22,36.916668,676
2018,2,23,40.111111,667
2018,2,24,39.542858,680
2018,2,25,40.25,655
2018,2,26,43.42857,623
2018,2,27,51.75,687
2018,2,28,47.727272,645
2018,3,1,39,800
2018,3,2,37.535713,690
2018,3,3,38.07143,662
2018,3,4,39.642857,648
2018,3,5,36.075001,662
2018,3,6,35.98077,651
2018,3,7,30.46875,654
2018,3,8,28.892857,658
2018,3,9,30.857143,741
2018,3,10,33.82143,681
2018,3,11,34.82143,616
2018,3,12,37.333332,659
2018,3,13,29.958334,638
2018,3,14,35.535713,663
2018,3,15,37.066666,689
2018,3,16,32.78125,702
2018,3,17,36.733334,773
2018,3,18,43.107143,682
2018,3,19,39.642857,655
2018,3,20,33,708
2018,3,21,34.17857,686
2018,3,22,36.689655,667
2018,3,23,36.464287,751
2018,3,24,37.107143,648
2018,3,25,34.964287,676
2018,3,26,45.083332,695
2018,3,27,49.540539,672
2018,3,28,45.21212,685
2018,3,29,43.4375,628
2018,3,30,41.161289,702
2018,3,31,44.433334,689
2018,4,1,31.571428,694
2018,4,2,36.366665,673
2018,4,3,39,602
2018,4,4,31.029411,697
2018,4,5,33.97826,670
2018,4,6,34.15625,694
2018,4,7,29.607143,636
2018,4,8,32.724136,615
2018,4,9,34.5,660
2018,4,10,39.25,712
2018,4,11,51.074074,767
2018,4,12,57.724136,746
2018,4,13,44.515152,780
2018,4,14,39.243244,682
2018,4,15,35.457142,596
2018,4,16,30.945946,731
2018,4,17,35.464287,698
2018,4,18,34.707317,624
2018,4,19,42.40625,721
2018,4,20,47.82143,793
2018,4,21,47.25,677
2018,4,22,51.57143,696
2018,4,23,52.700001,715
2018,4,24,55.25,712
2018,4,25,46.620689,749
2018,4,26,53,730
2018,4,27,47.80645,771
2018,4,28,43.607143,678
2018,4,29,46.107143,724
2018,4,30,63.392857,786
2018,5,1,73.931038,970
2018,5,2,74.074997,785
2018,5,3,64.590912,738
2018,5,4,68.162163,813
2018,5,5,70.214287,847
2018,5,6,60.464287,709
2018,5,7,63.107143,802
2018,5,8,71,801
2018,5,9,71.03125,787
2018,5,10,63.19355,778
2018,5,11,51.533333,726
2018,5,12,48.787235,695
2018,5,13,54.846153,689
2018,5,14,64.18,788
2018,5,15,62.536587,740
2018,5,16,65.35714,759
2018,5,17,62.25,790
2018,5,18,59.457142,790
2018,5,19,60.790699,757
2018,5,20,49.365852,761
2018,5,21,58.056602,708
2018,5,22,58.75,794
2018,5,23,65.89286,779
2018,5,24,74.60714,815
2018,5,25,78.964287,801
2018,5,26,78.785713,853
2018,5,27,84.464287,880
2018,5,28,81.962959,886
2018,5,29,77.964287,874
2018,5,30,76.333336,843
2018,5,31,80.96875,840
2018,6,1,64.866669,948
2018,6,2,61.918919,817
2018,6,3,67.6129,835
2018,6,4,70.035713,788
2018,6,5,63.066666,751
2018,6,6,68.10714,808
2018,6,7,71.285713,761
2018,6,8,65,771
2018,6,9,65.755104,815
2018,6,10,65.3871,730
2018,6,11,64.763161,744
2018,6,12,71.904762,789
2018,6,13,73.891891,748
2018,6,14,73.448273,753
2018,6,15,79.60714,836
2018,6,16,81.1875,821
2018,6,17,86.321426,826
2018,6,18,82.53125,836
2018,6,19,70.906975,790
2018,6,20,70.025642,882
2018,6,21,66.129631,660
2018,6,22,62.377357,722
2018,6,23,70.064514,836
2018,6,24,72.103447,869
2018,6,25,71.931038,855
2018,6,26,74.255814,794
2018,6,27,72.53846,822
2018,6,28,78.035713,817
2018,6,29,85.428574,778
2018,6,30,87.035713,861
2018,7,1,83.066666,940
2018,7,2,76.40741,857
2018,7,3,81.037041,818
2018,7,4,83.189186,824
2018,7,5,79.272728,832
2018,7,6,72.10714,885
2018,7,7,72.64286,827
2018,7,8,77.222221,818
2018,7,9,81.285713,794
2018,7,10,80.64286,804
2018,7,11,78.35714,734
2018,7,12,80.428574,797
2018,7,13,82.714287,813
2018,7,14,76.800003,785
2018,7,15,82.35714,807
2018,7,16,81.727272,768
2018,7,17,75.035713,737
2018,7,18,73.178574,830
2018,7,19,78.571426,778
2018,7,20,73.021278,817
2018,7,21,71.511627,795
2018,7,22,71.263161,793
2018,7,23,74.464287,841
2018,7,24,77.25,794
2018,7,25,79.214287,798
2018,7,26,75.827583,796
2018,7,27,70.928574,795
2018,7,28,71.928574,809
2018,7,29,72.571426,773
2018,7,30,73.10714,780
2018,7,31,73.699997,822
2018,8,1,74.793106,893
2018,8,2,77.785713,848
2018,8,3,77.25,887
2018,8,4,85,898
2018,8,5,83.933334,856
2018,8,6,77.263161,800
2018,8,7,75.026314,776
2018,8,8,74.529411,782
2018,8,9,78.34375,763
2018,8,10,77.758621,847
2018,8,11,79.321426,849
2018,8,12,79.428574,825
2018,8,13,77.870964,815
2018,8,14,80.59259,826
2018,8,15,78.685715,788
2018,8,16,76.666664,834
2018,8,17,74.628571,798
2018,8,18,76.241379,899
2018,8,19,77.379311,779
2018,8,20,74.710526,736
2018,8,21,72.720932,717
2018,8,22,70.285713,845
2018,8,23,72.10714,725
2018,8,24,67.545456,780
2018,8,25,74.073174,822
2018,8,26,84.64286,780
2018,8,27,86.035713,816
2018,8,28,78.545456,799
2018,8,29,70.466667,741
2018,8,30,68,807
2018,8,31,74.694443,814
2018,9,1,77.736839,912
2018,9,2,82.21875,805
2018,9,3,76.358971,763
2018,9,4,82.89286,795
2018,9,5,78.92308,713
2018,9,6,69.289474,733
2018,9,7,68.470589,719
2018,9,8,66.724136,783
2018,9,9,64.533333,660
2018,9,10,66.76667,707
2018,9,11,67,688
2018,9,12,68.5,709
2018,9,13,67,682
2018,9,14,71.714287,860
2018,9,15,70.777779,786
2018,9,16,76.185188,797
2018,9,17,79.875,783
2018,9,18,72.911766,726
2018,9,19,70.696968,756
2018,9,20,82.034485,814
2018,9,21,72.14286,816
2018,9,22,59.75,795
2018,9,23,62.964287,734
2018,9,24,67.694443,791
2018,9,25,71.022224,744
2018,9,26,59.448277,741
2018,9,27,60.142857,698
2018,9,28,54.892857,787
2018,9,29,53.035713,725
2018,9,30,61.090908,736
2018,10,1,64.410255,856
2018,10,2,63.052631,712
2018,10,3,76.448273,670
2018,10,4,60.083332,691
2018,10,5,60.586956,648
2018,10,6,64.681816,724
2018,10,7,60.512196,715
2018,10,8,74.121216,740
2018,10,9,77.5,741
2018,10,10,69.069771,709
2018,10,11,46.757576,670
2018,10,12,39.5,694
2018,10,13,42.5,735
2018,10,14,48.766666,703
2018,10,15,42.277779,699
2018,10,16,46.67857,666
2018,10,17,45.535713,683
2018,10,18,47.357143,718
2018,10,19,50.151516,761
2018,10,20,43.161289,801
2018,10,21,40.25,643
2018,10,22,49.925926,706
2018,10,23,46.607143,729
2018,10,24,44.533333,796
2018,10,25,45.740742,713
2018,10,26,49.642857,815
2018,10,27,48.766666,779
2018,10,28,47.823528,711
2018,10,29,47.357143,711
2018,10,30,57.288887,748
2018,10,31,52.37838,868
2018,11,1,49.225807,871
2018,11,2,44.357143,769
2018,11,3,43.892857,775
2018,11,4,50.125,680
2018,11,5,48.361702,697
2018,11,6,46,760
2018,11,7,36.875,680
2018,11,8,37.172413,669
2018,11,9,31.844444,710
2018,11,10,26.633333,640
2018,11,11,34.535713,646
2018,11,12,32.25,678
2018,11,13,24.107143,605
2018,11,14,28.0625,628
2018,11,15,32.306122,679
2018,11,16,35.5625,718
2018,11,17,34.641026,663
2018,11,18,32.387096,624
2018,11,19,29.793104,630
2018,11,20,31.785715,684
2018,11,21,33.07143,733
2018,11,22,34.545456,533
2018,11,23,43.566666,745
2018,11,24,44.315788,692
2018,11,25,37.951218,576
2018,11,26,28.60606,555
2018,11,27,22.243244,631
2018,11,28,24.813953,704
2018,11,29,32.607143,664
2018,11,30,37.242424,746
2018,12,1,40.477272,746
2018,12,2,41.349998,708
2018,12,3,33.150002,765
2018,12,4,30.641026,717
2018,12,5,28.704546,706
2018,12,6,28.758621,714
2018,12,7,20.857143,746
2018,12,8,25.34375,728
2018,12,9,25.266666,688
2018,12,10,25.107143,700
2018,12,11,31.714285,667
2018,12,12,36.333332,748
2018,12,13,37.513512,709
2018,12,14,39.840908,779
2018,12,15,37.138889,731
2018,12,16,35.783783,742
2018,12,17,32.857143,694
2018,12,18,32.75,700
2018,12,19,42.107143,727
2018,12,20,44.658535,768
2018,12,21,34.303032,792
2018,12,22,31.756756,746
2018,12,23,34,633
2018,12,24,29.392857,601
2018,12,25,36.900002,446
2018,12,26,38.75,622
2018,12,27,46.216217,622
2018,12,28,36.650002,713
2018,12,29,28.725,688
2018,12,30,28.551723,661
2018,12,31,38.18919,644
