state_dist,electionyear,cong,name,republican,rep_twoparty_pres,rep_voteshare,cvp
"AK_1",2002,108,"YOUNG",1,.6185567,.8117268,.0476846
"AK_1",2004,109,"YOUNG",1,.6185567,.7606978,.0711669
"AK_1",2006,110,"YOUNG",1,.6185567,.5857463,.4374129
"AK_1",2008,111,"YOUNG",1,.6185567,.5271626,.3377702
"AK_1",2010,112,"YOUNG",1,.6185567,.6932448,.0048915
"AL_1",2002,108,"BONNER",1,.6282324,.6155835,.0749167
"AL_1",2004,109,"BONNER",1,.6282324,.6316229,.0835329
"AL_1",2006,110,"BONNER",1,.6282324,.6815598,.4920032
"AL_1",2008,111,"BONNER",1,.6282324,1,.3743834
"AL_1",2010,112,"BONNER",1,.6282324,1,.0335987
"AL_2",2002,108,"EVERETT",1,.6531818,.6995853,.0925499
"AL_2",2004,109,"EVERETT",1,.6531818,.7150714,.1041755
"AL_2",2006,110,"EVERETT",1,.6531818,.695388,.4859401
"AL_2",2008,111,"BRIGHT",0,.6531818,.4968809,.2275797
"AL_2",2010,112,"ROBY",1,.6531818,.5109377,.0406838
"AL_3",2002,108,"ROGERS",1,.5757576,.5106935,.0591879
"AL_3",2004,109,"ROGERS",1,.5757576,.6122955,.0792463
"AL_3",2006,110,"ROGERS",1,.5757576,.6072144,.4659032
"AL_3",2008,111,"ROGERS",1,.5757576,.540995,.346404
"AL_3",2010,112,"ROGERS",1,.5757576,.5948066,.0273864
"AL_4",2002,108,"ADERHOLT",1,.7424242,1,.0525415
"AL_4",2004,109,"ADERHOLT",1,.7424242,.7483124,.0888405
"AL_4",2006,110,"ADERHOLT",1,.7424242,.7026129,.4724683
"AL_4",2008,111,"ADERHOLT",1,.7424242,.7485827,.362365
"AL_4",2010,112,"ADERHOLT",1,.7424242,1,.0304015
"AL_5",2002,108,"CRAMER",0,.6111111,.2521555,-.2357024
"AL_5",2004,109,"CRAMER",0,.6111111,.2694771,-.2153234
"AL_5",2006,110,"CRAMER",0,.6111111,0,-.0209376
"AL_5",2010,112,"BROOKS",1,.6111111,.5793567,.086789
"AL_6",2002,108,"BACHUS",1,.7738384,1,.070626
"AL_6",2004,109,"BACHUS",1,.7738384,1,.098439
"AL_6",2006,110,"BACHUS",1,.7738384,1,.489457
"AL_6",2008,111,"BACHUS",1,.7738384,1,.3754102
"AL_6",2010,112,"BACHUS",1,.7738384,1,.0342664
"AL_7",2002,108,"DAVIS",0,.3131313,0,-.3683175
"AL_7",2004,109,"DAVIS",0,.3131313,.249641,-.3295695
"AL_7",2006,110,"DAVIS",0,.3131313,0,-.0474881
"AL_7",2008,111,"DAVIS",0,.3131313,0,-.0263837
"AL_7",2010,112,"SEWELL",0,.3131313,.275153,-.5930637
"AR_1",2002,108,"BERRY",0,.5667499,.331638,-.3480319
"AR_1",2004,109,"BERRY",0,.5667499,.3343226,-.3014591
"AR_1",2006,110,"BERRY",0,.5667499,.3073545,-.0507756
"AR_1",2008,111,"BERRY",0,.5667499,0,-.0177437
"AR_1",2010,112,"CRAWFORD",1,.5667499,.5436087,.0342348
"AR_2",2002,108,"SNYDER",0,.5330859,0,-.3574149
"AR_2",2004,109,"SNYDER",0,.5330859,.4182987,-.3505582
"AR_2",2006,110,"SNYDER",0,.5330859,.3947204,-.0575261
"AR_2",2008,111,"SNYDER",0,.5330859,0,-.0357696
"AR_2",2010,112,"GRIFFIN",1,.5330859,.6020919,.0546056
"AR_3",2002,108,"BOOZMAN",1,.6428571,1,.0699286
"AR_3",2004,109,"BOOZMAN",1,.6428571,.6089345,.0877923
"AR_3",2006,110,"BOOZMAN",1,.6428571,.6223199,.4712502
"AR_3",2008,111,"BOOZMAN",1,.6428571,1,.4030544
"AR_3",2010,112,"WOMACK",1,.6428571,.7243508,.0336071
"AR_4",2002,108,"ROSS",0,.5565448,.3943768,-.33828
"AR_4",2004,109,"ROSS",0,.5565448,0,-.2970076
"AR_4",2006,110,"ROSS",0,.5565448,.2526866,-.0277172
"AR_4",2008,111,"ROSS",0,.5565448,0,.0014636
"AR_4",2010,112,"ROSS",0,.5565448,.4110572,-.2510909
"AZ_1",2002,108,"RENZI",1,.5455102,.5188205,.0420572
"AZ_1",2004,109,"RENZI",1,.5455102,.6177449,.0549834
"AZ_1",2006,110,"RENZI",1,.5455102,.5436227,.4030991
"AZ_1",2008,111,"KIRKPATRICK",0,.5455102,.4136914,.0795225
"AZ_1",2010,112,"GOSAR",1,.5455102,.532028,.0719732
"AZ_2",2002,108,"FRANKS",1,.6161616,.6211257,.1412835
"AZ_2",2004,109,"FRANKS",1,.6161616,.6060895,.1614823
"AZ_2",2006,110,"FRANKS",1,.6161616,.6011449,.6036682
"AZ_2",2008,111,"FRANKS",1,.6161616,.6153097,.47415
"AZ_2",2010,112,"FRANKS",1,.6161616,.676288,.0973166
"AZ_3",2002,108,"SHADEGG",1,.580808,.6896921,.1258734
"AZ_3",2004,109,"SHADEGG",1,.580808,1,.1517108
"AZ_3",2006,110,"SHADEGG",1,.580808,.6078658,.5948499
"AZ_3",2008,111,"SHADEGG",1,.580808,.5624454,.490072
"AZ_3",2010,112,"QUAYLE",1,.580808,.5593904,.0989327
"AZ_4",2002,108,"PASTOR",0,.3566667,.292235,-.4295186
"AZ_4",2004,109,"PASTOR",0,.3566667,.2679432,-.4182342
"AZ_4",2006,110,"PASTOR",0,.3566667,.248059,-.0779781
"AZ_4",2008,111,"PASTOR",0,.3566667,.2275819,-.0566379
"AZ_4",2010,112,"PASTOR",0,.3566667,.2913941,-.6288216
"AZ_5",2002,108,"HAYWORTH",1,.5353535,.6278827,.0813729
"AZ_5",2004,109,"HAYWORTH",1,.5353535,.6090299,.1156592
"AZ_5",2006,110,"MITCHELL",0,.5353535,.4794968,.0295913
"AZ_5",2008,111,"MITCHELL",0,.5353535,.4504642,.1438737
"AZ_5",2010,112,"SCHWEIKERT",1,.5353535,.5460734,.0912755
"AZ_6",2002,108,"FLAKE",1,.6313131,.6762524,.1348672
"AZ_6",2004,109,"FLAKE",1,.6313131,1,.1241811
"AZ_6",2006,110,"FLAKE",1,.6313131,1,.6152661
"AZ_6",2008,111,"FLAKE",1,.6313131,.6436941,.5193235
"AZ_6",2010,112,"FLAKE",1,.6313131,.695233,.1127185
"AZ_7",2004,109,"GRIJALVA",0,.4271212,.3517215,-.4789075
"AZ_7",2006,110,"GRIJALVA",0,.4271212,.3665531,-.1009266
"AZ_7",2008,111,"GRIJALVA",0,.4271212,.3413625,-.0855517
"AZ_7",2010,112,"GRIJALVA",0,.4271212,.4682344,-.6972815
"AZ_8",2004,109,"KOLBE",1,.5329829,.6251168,.0590597
"AZ_8",2006,110,"GIFFORDS",0,.5329829,.4368672,.0008499
"AZ_8",2008,111,"GIFFORDS",0,.5329829,.4389784,.0652161
"CA_1",2002,108,"THOMPSON",0,.3571429,.3358648,-.4092433
"CA_1",2004,109,"THOMPSON",0,.3571429,.2969154,-.407735
"CA_1",2006,110,"THOMPSON",0,.3571429,.3043983,-.0580619
"CA_1",2008,111,"THOMPSON",0,.3571429,.2554081,-.0523161
"CA_1",2010,112,"THOMPSON",0,.3571429,.3307573,-.6544106
"CA_10",2002,108,"TAUSCHER",0,.3703876,0,-.4012221
"CA_10",2004,109,"TAUSCHER",0,.3703876,.3428599,-.410299
"CA_10",2006,110,"TAUSCHER",0,.3703876,.3354983,-.071803
"CA_10",2010,112,"GARAMENDI",0,.3703876,.3914901,-.6399913
"CA_11",2002,108,"POMBO",1,.4972171,.6031468,.0726793
"CA_11",2004,109,"POMBO",1,.4972171,.6122791,.0808442
"CA_11",2006,110,"MCNERNEY",0,.4972171,.4673429,-.0319032
