id,voted16,trump16,clinton16,voted12,obama12,romney12,democrat,republican,liberal,conservative,age,female,white,black,hispanic,asian,income100,church,south,apprentice,homealone2
1,1,0,1,1,1,0,1,0,1,0,56,1,1,0,0,0,0,0,0,0,1
2,0,0,0,1,1,0,0,0,0,0,32,0,1,0,0,0,0,1,0,1,1
3,0,0,0,1,1,0,1,0,1,0,28,1,1,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,1,0,1,0,47,0,1,0,0,0,0,0,1,0,0
5,0,0,0,1,0,1,0,1,0,1,79,0,1,0,0,0,1,1,0,1,1
6,0,0,0,0,0,0,0,0,0,1,60,1,1,0,0,0,0,0,0,0,0
7,1,0,1,1,1,0,1,0,0,0,58,0,0,0,1,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,1,1,1
9,0,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0
10,0,0,0,1,1,0,1,0,0,1,36,0,1,0,0,0,0,0,0,0,1
11,1,1,0,0,0,0,0,1,0,0,61,1,1,0,0,0,0,0,1,0,0
12,1,1,0,1,0,1,0,1,0,1,59,1,1,0,0,0,0,0,1,0,0
13,0,0,0,1,1,0,1,0,1,0,33,0,1,0,0,0,0,1,0,0,0
14,1,0,1,1,1,0,1,0,0,0,60,1,1,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,1,0,39,1,1,0,0,0,0,0,0,0,1
16,1,1,0,1,0,1,0,1,0,1,72,1,1,0,0,0,0,1,0,0,0
17,0,0,0,0,0,0,1,0,1,0,19,1,0,1,0,0,0,0,0,0,1
18,1,0,1,1,1,0,1,0,1,0,36,1,1,0,0,0,1,0,0,0,0
19,1,0,0,1,1,0,1,0,1,0,51,1,0,1,0,0,1,0,1,0,1
20,1,0,1,1,1,0,1,0,1,0,69,0,0,1,0,0,0,1,1,0,0
21,0,0,0,1,1,0,1,0,0,1,31,1,1,0,0,0,0,0,1,0,1
22,0,0,0,1,1,0,0,0,0,0,66,0,1,0,0,0,0,0,0,0,1
23,1,0,1,1,1,0,0,0,0,0,74,0,1,0,0,0,0,0,1,0,1
24,0,0,0,0,0,0,0,1,0,0,46,0,1,0,0,0,1,0,0,0,0
25,0,0,0,1,1,0,0,1,1,0,30,0,1,0,0,0,0,1,0,0,0
26,0,0,0,1,1,0,1,0,1,0,31,0,1,0,0,0,0,0,1,0,1
27,0,0,0,1,0,1,0,0,0,1,61,0,0,0,0,0,0,1,1,0,0
28,1,0,1,1,1,0,0,0,0,0,70,1,1,0,0,0,0,0,0,0,0
29,0,0,0,1,1,0,0,0,0,0,77,0,1,0,0,0,0,0,0,0,0
30,1,0,1,1,1,0,1,0,1,0,53,0,1,0,0,0,0,0,0,0,1
31,1,1,0,1,0,1,0,1,0,1,67,1,1,0,0,0,0,0,0,0,0
32,0,0,0,1,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,1
33,1,0,1,1,1,0,1,0,0,0,70,1,1,0,0,0,0,0,0,0,0
34,1,0,1,1,1,0,1,0,1,0,35,1,0,0,0,0,0,0,1,0,0
35,0,0,0,1,0,1,0,1,0,1,41,1,1,0,0,0,1,0,0,0,0
36,1,0,0,1,0,1,0,1,0,1,26,1,1,0,0,0,0,1,1,0,1
37,1,0,1,1,1,0,0,0,0,0,63,1,0,1,0,0,0,0,0,0,1
38,1,0,0,1,0,1,0,0,0,1,36,0,1,0,0,0,1,0,0,0,1
39,1,1,0,1,0,1,1,0,0,1,66,0,1,0,0,0,0,0,0,0,0
40,1,1,0,1,0,1,0,0,0,1,73,1,1,0,0,0,0,0,1,0,1
41,1,1,0,1,0,1,0,1,0,1,53,1,1,0,0,0,0,0,0,0,0
42,1,0,0,1,1,0,0,0,0,0,32,1,0,1,0,0,0,1,1,1,0
43,1,1,0,1,0,1,0,1,0,1,57,0,1,0,0,0,0,1,0,1,1
44,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,1,0,1
45,1,0,1,1,1,0,1,0,0,0,42,1,0,0,0,0,0,1,0,0,1
46,1,0,1,1,1,0,0,0,0,0,48,1,1,0,0,0,0,0,0,0,1
47,1,0,1,1,1,0,1,0,0,0,75,0,1,0,0,0,1,0,1,0,1
48,1,0,1,1,1,0,0,0,0,0,63,0,1,0,0,0,0,0,0,0,0
49,1,0,1,1,1,0,1,0,1,0,62,0,1,0,0,0,0,0,1,0,1
50,1,0,1,1,1,0,1,0,0,0,35,1,0,0,1,0,0,0,0,0,1
51,1,0,1,1,1,0,1,0,0,0,64,1,0,1,0,0,0,1,0,0,0
52,0,0,0,1,1,0,0,1,0,1,24,0,1,0,0,0,0,0,0,0,1
53,0,0,0,1,0,1,0,1,0,1,84,1,1,0,0,0,0,1,1,0,1
54,1,0,1,1,0,0,0,0,0,1,70,0,0,0,1,0,0,0,1,0,0
55,1,0,0,0,0,0,0,0,0,0,61,1,1,0,0,0,0,0,0,0,1
56,0,0,0,1,1,0,0,0,0,1,35,1,0,0,0,0,0,0,0,0,0
57,1,0,1,1,1,0,0,0,1,0,56,0,1,0,0,0,1,0,0,0,1
58,0,0,0,0,0,0,0,0,1,0,26,1,1,0,0,0,0,0,0,0,0
59,0,0,0,1,1,0,1,0,0,1,28,1,1,0,0,0,0,0,0,0,1
60,1,0,1,1,1,0,1,0,1,0,84,1,1,0,0,0,0,0,0,0,1
61,0,0,0,1,0,1,0,1,0,1,30,0,1,0,0,0,0,0,0,1,0
62,1,0,0,1,1,0,1,0,0,0,60,1,1,0,0,0,0,0,0,0,0
63,1,1,0,1,1,0,0,0,0,0,26,1,1,0,0,0,0,0,0,0,1
